id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22434629,Spacious Villa in Country Sintra,360095,Dina S.,Sintra,So Joo das Lampas e Terrugem,38.89361,-9.38911,Entire home/apt,100,2,7,2019-01-01,0.56,1,143
22434918,Green Apartment with River View,106487240,Rita,Lisboa,So Vicente,38.71999,-9.12133,Entire home/apt,60,2,24,2019-01-27,1.75,8,346
22435483,Bright and Cosy Apartment,57690111,Lucy,Lisboa,Santo Antnio,38.72098,-9.15213,Entire home/apt,200,2,12,2019-01-28,1.01,4,338
22441730,Kalathos Houses for groups - Within Castle Walls!,71962548,GT House,Lisboa,Santa Maria Maior,38.71368,-9.13184,Entire home/apt,250,3,1,2018-05-14,0.11,31,0
22443169,"Casa remodelada no Centro do Magoito, ocupação 6p",80763175,Hugo,Sintra,So Joo das Lampas e Terrugem,38.86767,-9.42993,Entire home/apt,27,2,0,,,4,365
22443740,Libest República Av. 1 - Saldanha ELEGANT,56201244,Libest,Lisboa,Avenidas Novas,38.7384,-9.14752,Entire home/apt,150,2,25,2019-01-13,1.93,19,225
22448109,Magoito Villa,125944358,Gustavo,Sintra,So Joo das Lampas e Terrugem,38.85299,-9.39723,Entire home/apt,100,2,36,2019-02-13,2.69,1,221
22448600,Lisbon Bica Loft,130089789,Luís,Lisboa,Misericrdia,38.70955,-9.1479,Entire home/apt,61,2,9,2018-10-26,0.79,1,6
22448727,Estúdio -Madeira perto Aeroporto e P.Nações,86604121,Carla,Loures,Sacavm e Prior Velho,38.79386,-9.10572,Entire home/apt,30,1,13,2019-01-02,1.34,8,108
22449799,Libest Príncipe Real 1 - Garden PRIME LOCATION,56201244,Libest,Lisboa,Misericrdia,38.71599,-9.1474,Entire home/apt,150,2,37,2019-01-04,3.01,19,284
22450303,NEW! High Standard with Terrace-Amazing River View,29064494,Lisbon Residence,Lisboa,Santa Maria Maior,38.71069,-9.12987,Entire home/apt,175,2,40,2019-01-28,3.23,17,271
