id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22843325,"Colosseum on foot, Casa Vetulonia",168907149,Carlo,,VII San Giovanni/Cinecittà,41.87469,12.5063,Private room,32,2,8,2019-02-01,1.53,1,75
22844571,Ostia Lido Top Floor Apartment with Terrace,168921260,Raffaele,,X Ostia/Acilia,41.73495,12.28579,Entire home/apt,50,2,52,2019-03-02,3.94,1,314
22845832,QUADRILOCALE CON TERRAZZO VISTA MARE,166129603,Paolo,,X Ostia/Acilia,41.73151,12.2745,Entire home/apt,90,4,2,2018-08-09,0.23,2,155
22852304,TUO LUXURY APARTMENT,24147935,Elena,,I Centro Storico,41.88935,12.4961,Entire home/apt,120,2,0,,,2,363
22852372,LUNG44 elegant apartment in the heart of Rome,169011560,Mariangels,,I Centro Storico,41.89724,12.4638,Entire home/apt,140,3,13,2019-02-22,1.22,1,191
22855918,Mansarda nel cuore di Roma (Rione Monti),131407984,Valeria,,I Centro Storico,41.89465,12.49154,Entire home/apt,150,2,29,2019-03-04,2.55,1,292
22856122,Attico Panoramico e Luminoso,169051484,Mario,,II Parioli/Nomentano,41.89764,12.51157,Entire home/apt,60,2,5,2018-12-06,0.52,1,168
22856937,Tommy's Loft @ Fico Square,40894593,Tommaso,,I Centro Storico,41.90052,12.47128,Entire home/apt,60,3,52,2019-03-07,4.14,1,61
22859087,Muzia Bed & Breakfast /Casa Vacanze  Rome Center,123885495,Laura,,VII San Giovanni/Cinecittà,41.88464,12.51116,Entire home/apt,100,3,11,2018-12-30,0.99,1,292
22859308,L'Agata (trastevere),4432886,Luca,,I Centro Storico,41.88978,12.47376,Entire home/apt,110,3,20,2019-01-07,1.49,3,302
22859309,Apartment Roma Center,24404734,Jorge Luis,,VII San Giovanni/Cinecittà,41.87859,12.50642,Entire home/apt,78,2,18,2018-12-27,1.68,6,345
22871721,B&B Helen's House,167127784,Riccardo,,IX Eur,41.78824,12.52142,Private room,32,1,0,,,2,365
22871829,Luxury Suite Roma centro,108007744,Angela,,II Parioli/Nomentano,41.9149,12.52055,Entire home/apt,39,2,61,2019-03-02,4.61,1,40
